r,fft-rs,paw-rs
0.7,6.552030029638445e-10,0.00017068810228515474
0.7999999999999999,6.682965292270637e-10,0.00023429727115731325
0.8999999999999999,6.865192858640512e-10,0.00022204350047283494
1.0,6.969136379098018e-10,0.00016826782337697743
1.1,7.036908833413236e-10,0.0001074479094377856
1.2,7.150640080055837e-10,5.9395668269068835e-05
1.3,7.245040123393665e-10,2.9166619217396716e-05
1.4,7.365539289594381e-10,1.3888824220986695e-05
1.5,7.409752811327053e-10,9.381810031655613e-06
