r,Before,After
0.7,0.00010675368206047864,4.210184730654709e-05
0.7999999999999999,0.00011392438454715936,3.8071085273400085e-05
0.8999999999999999,0.00011356480018043236,3.257371174250623e-05
1.0,0.00010922960845993757,3.070839048657792e-05
1.1,0.00010443899735390616,2.962744584666943e-05
1.2,0.00010048533924145175,2.4613729252886962e-05
1.3,9.699266960283559e-05,1.900575130653337e-05
1.4,9.534927267695892e-05,1.4197970844495589e-05
1.5,9.488309264171768e-05,1.2279144330190617e-05
